collision_id,crash_date,crash_time,on_street_name,cross_street_name,off_street_name,borough,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,longitude,latitude
4513751,2022-03-26,17:42,,,935       EAST 58 STREET,BROOKLYN,11234,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.9205,40.631687
4514075,2022-03-26,12:18,LACONIA AVENUE,EAST 231 STREET,,BRONX,10466,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,-73.84666,40.88839
4513857,2022-03-26,20:10,,,1706      HOLLAND AVENUE,BRONX,10462,0,0,0,0,0,0,0,0,Unspecified,-73.8639,40.844425
4514202,2022-03-26,15:45,WHITE PLAINS ROAD,CROSS BRONX EXPRESSWAY,,BRONX,10472,2,0,0,0,0,0,2,0,Alcohol Involvement,-73.8629,40.833965
4514347,2022-03-26,17:55,MANHATTAN AVENUE,BOERUM STREET,,BROOKLYN,11206,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.944695,40.705738
4513495,2022-03-26,0:50,AVENUE N,EAST 102 STREET,,BROOKLYN,11236,0,0,0,0,0,0,0,0,Unsafe Speed,-73.8878,40.637905
4513874,2022-03-26,14:05,,,2067      NOSTRAND AVENUE,BROOKLYN,11210,1,0,0,0,0,0,1,0,Unsafe Speed,-73.94788,40.635063
4514263,2022-03-26,9:30,BRUCKNER BOULEVARD,EAST 137 STREET,,,,0,0,0,0,0,0,0,0,Unspecified,-73.91304,40.804153
4514323,2022-03-10,8:30,PROSPECT PLACE,GRAND AVENUE,,BROOKLYN,11238,4,0,0,0,0,0,4,0,Other Vehicular,-73.96287,40.676403
4514182,2022-03-24,23:00,WATSON AVENUE,CASTLE HILL AVENUE,,BRONX,10472,1,0,1,0,0,0,0,0,Unspecified,-73.85055,40.829777
4513515,2022-03-26,7:36,FORT HAMILTON PARKWAY,97 STREET,,BROOKLYN,11209,0,0,0,0,0,0,0,0,Brakes Defective,-74.030174,40.613926
4513663,2022-03-26,11:50,EAST 94 STREET,AVENUE M,,BROOKLYN,11236,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,-73.89577,40.635563
4513953,2022-03-26,17:42,114 STREET,SUTTER AVENUE,,QUEENS,11420,0,0,0,0,0,0,0,0,Passing Too Closely,-73.825264,40.675167
4513985,2022-03-26,1:45,EAST 62 STREET,1 AVENUE,,MANHATTAN,10065,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.96061,40.761486
4514084,2022-03-26,17:00,,,98        SOUTH 4 STREET,BROOKLYN,11249,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,-73.964005,40.712284
4514144,2022-02-25,11:48,JAMAICA AVENUE,165 STREET,,QUEENS,11432,0,0,0,0,0,0,0,0,Following Too Closely,-73.7949,40.70546
4513606,2022-03-26,22:51,WEST 30 STREET,,,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,-73.99531,40.74967
4513564,2022-03-26,8:21,SAINT NICHOLAS AVENUE,WEST 159 STREET,,MANHATTAN,10032,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.94037,40.833786
4514412,2022-03-17,8:00,139 STREET,,,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,-73.8023,40.67794
4513587,2022-03-26,10:30,,,736       56 STREET,BROOKLYN,11220,0,0,0,0,0,0,0,0,Backing Unsafely,-74.0076,40.637985
4487185,2021-12-16,9:23,JACKIE ROBINSON EXPY,JAMAICA AVENUE,,,,0,0,0,0,0,0,0,0,Unspecified,,
